hotel_name,brand,city,state,country,opening_date,room_count,room_count_confidence,hotel_type,project_type,management_company,developer,owner,investment_amount,amenities,key_insights,contact_name,contact_title,contact_email,contact_phone,contact_company,contact_relevance,lead_priority,lead_priority_reason,months_to_opening,uniform_decision_window,confidence_score,source_url,source_name,scraped_at
"The Heid Lofts by Reside, a Wyndham Residence",Wyndham Residence,Philadelphia,Pennsylvania,USA,"Jan. 22, 2026",96,confirmed,apartment-style,new_construction,Reside,Wyndham-Reside partnership,,,"full kitchens, in-suite laundry",Caters to travelers seeking extended stay accommodations. Part of a 10-year development partnership between Wyndham and Reside.,J.R. Dembiec,"president of Reside, a Wyndham Residence",,,Reside,MEDIUM,⚫ MISSED,Opening in 0 months - uniforms likely purchased,0,MISSED,0.95,https://www.hoteldive.com/news/wyndham-reside-partnership-apartment-hotel-opening/810218/,Hotel Dive,2026-01-29T15:31:57.941158
Outbound Park City,Outbound Hotels,Park City,Utah,USA,2027,182,confirmed,experiential/design-forward/rooted in nature and community,renovation,CoralTree Hospitality,Waterton,Waterton and Barings,,"interior retreat area with a new pool and hot tub, social après courtyard with communal seating, fire pits, outdoor games, space for live music and small events, diner, speakeasy-inspired bar, more than 11,000 square feet of meeting and prefunction areas",Redesigned property with renovated guest rooms featuring built-in storage and gear-ready layouts. Design inspired by the area's Wasatch Mountains with a blend of Nordic and mountain culture influences. Property centers on two courtyards on a 4.5-acre site.,Matthew Mering,EVP of hospitality at Waterton and co-founder of Outbound Hotels,,,Waterton,MEDIUM,🟠 WARM,Opening in 17 months - perfect timing,17,SOON,0.95,https://www.hoteldive.com/news/outbound-hotels-park-city-2027-waterton-barings/809588/,Hotel Dive,2026-01-29T15:32:09.451899
Motto by Hilton Nashville Downtown,Motto by Hilton,Nashville,Tennessee,USA,this week,260,confirmed,lifestyle,new_construction,,Apple Hospitality REIT,Apple Hospitality REIT,$98.2 million,Confirmed Connecting Room capabilities,Acquired by Apple Hospitality REIT for $98.2 million. Located within walking distance of multiple popular attractions.,Nelson Knight,president of real estate and investments,,,Apple Hospitality REIT,MEDIUM,⚫ MISSED,Opening in 0 months - uniforms likely purchased,0,MISSED,0.85,https://www.hoteldive.com/news/apple-hospitality-motto-hilton-nashville-downtown/808592/,Hotel Dive,2026-01-29T15:32:15.586817
PUBLIC West Hollywood,PUBLIC,West Hollywood,California,USA,this spring,137,confirmed,lifestyle,new_construction,Highgate,Ian Schrager Company,,,,"Part of a joint venture between Ian Schrager Company and Highgate to scale the PUBLIC brand globally through acquisitions, new builds, and conversions of existing Highgate properties. Aims to offer sophisticated design, great service, and unique experiences at a less expensive price point than traditional luxury.",,,,,,MEDIUM,⚪ UNKNOWN,No opening date found,,UNKNOWN,0.85,https://www.hoteldive.com/news/ian-schrager-highgate-public-brand-partnership/810689/,Hotel Dive,2026-01-29T15:31:46.748370
Ruby Hotel Chicago,Ruby Hotels,Chicago,Illinois,USA,2027,412,confirmed,lifestyle,renovation,Ruby Group,"Ruby Group, Berk Properties",,,"lobby and bar experience, rooftop terrace and bar",The hotel is a renovation of the historic Inn of Chicago building. Ruby Hotels is IHG's premium urban lifestyle brand. The brand focuses on 'storytelling through design' and offers a 'bar-forward concept'. IHG aims to target the top 25 U.S. markets for Ruby's growth.,,,,,,MEDIUM,🟠 WARM,Opening in 17 months - perfect timing,17,SOON,0.85,https://www.hoteldive.com/news/ihg-ruby-hotels-chicago-debut/810588/,Hotel Dive,2026-01-29T15:31:46.957169
The Huntington Hotel,,San Francisco,California,USA,Mar-26,143,confirmed,luxury,renovation,Highgate,Flynn Properties,,,"three-level spa, Big Four restaurant (72-seat dining room, private dining space)",Returns to Nob Hill. Reimagined by creative director and designer Ken Fulk. Original Georgian architectural elements remain.,,,,,,MEDIUM,⚫ MISSED,Opening in 2 months - uniforms likely purchased,2,MISSED,0.85,https://www.hoteldive.com/news/top-hotel-openings-2026/810298/,Hotel Dive,2026-01-29T15:32:02.611752
The Ritz-Carlton Indianapolis,Ritz-Carlton,Indianapolis,Indiana,USA,early 2028,176,confirmed,luxury,new_construction,Sage Hospitality Group,Boxcar Development,,,"11,500 square feet of meetings and events space, a fitness center and spa, an outdoor terrace, an upscale restaurant, a lobby bar and restaurant and a private lounge for guests","Part of a larger mixed-use redevelopment of the city’s former CSX Building. Connects to Gainbridge Fieldhouse arena via a third-floor pedestrian bridge. Three blocks from the Indiana Convention Center. Positions Indy as a more luxury-forward, walkable, and design-driven meetings and bleisure destination.",,,,,,MEDIUM,🔵 COLD,Opening in 26 months - too early,26,LATER,0.85,https://www.hoteldive.com/news/ritz-carlton-hotel-development-indianapolis/809199/,Hotel Dive,2026-01-29T15:32:09.628329
Omni Fort Lauderdale Hotel,Omni Hotels & Resorts,Fort Lauderdale,Florida,USA,"Dec. 18, 2025",801,confirmed,luxury,new_construction,,Matthews Southwest,,,"82 suites, pool deck with ocean views, full-service spa and fitness center, Reef 76 Kitchen & Bar, Fair Ketch sports bar, Ibis Sky Lounge, Hidden lobby bar, market, poolside and in-room dining, over 120,000 sq ft of meetings and events space, 30,000 sq ft Waterway Ballroom","Flagship property in Greater Fort Lauderdale, waterfront luxury, returns Omni to South Florida after over 20 years, largest ballroom in Greater Fort Lauderdale.",Kurt Alexander,president,,,Omni Hotels & Resorts,MEDIUM,⚫ MISSED,Already opened (1 months ago),-1,MISSED,0.85,https://www.hoteldive.com/news/omni-fort-lauderdale-hotel-opening/808495/,Hotel Dive,2026-01-29T15:32:18.471557
Six Senses Camp Korongo,Six Senses,Kanab,Utah,USA,2029,41,confirmed,luxury/resort,new_construction,,Canyon Global Partners,Canyon Global Partners,,"Six Senses Spa, tented pavilions, branded residences, proximity to national parks","Aims to set a new standard in ultra-luxury experiential travel in the Americas. Focuses on outdoor exploration, natural connection, and wellness.",,,,,,MEDIUM,🔵 COLD,Opening in 41 months - too early,41,LATER,0.75,https://www.hoteldive.com/news/ihg-six-senses-resort-utah/810467/,Hotel Dive,2026-01-29T15:31:52.651225
Hotel Daphne,Bunkhouse Hotels,Houston,Texas,USA,last week,49,confirmed,boutique,new_construction,,Bunkhouse,,,"Italian-style restaurant and bar, library, small private event space, signature retail shop",First design-driven boutique property of its kind in Houston's Heights neighborhood. Designed by the brand's in-house team. Rooms and suites designed to add 'unexpected fantasy within the serene retreat'. Features artworks from Texas artists. Restaurant Hypsi led by Chef Terrence Gallivan.,,,,,,MEDIUM,⚫ MISSED,Opening in 0 months - uniforms likely purchased,0,MISSED,0.75,https://www.hoteldive.com/news/bunkhouse-hotels-opens-boutique-property-houston-texas/807258/,Hotel Dive,2026-01-29T15:32:29.716354
