hotel_name,brand,city,state,country,opening_date,room_count,room_count_confidence,hotel_type,project_type,management_company,developer,owner,investment_amount,amenities,key_insights,contact_name,contact_title,contact_email,contact_phone,contact_company,contact_relevance,lead_priority,lead_priority_reason,months_to_opening,uniform_decision_window,confidence_score,source_url,source_name,scraped_at
"Crystal Cove, Barbados, a Tribute Portfolio All-Inclusive Resort",Tribute Portfolio,St. James,,Barbados,Feb. 12,88,confirmed,all-inclusive resort,renovation,,,Elegant Hotels (acquired by Marriott in 2019),,"pools, Cave Bar (swim-up bar), Reflections restaurant, Drifters Beach Bar and Restaurant, The Beach Bar, Vista Coffee & Wine Bar, fitness center",Reopening after several years closed. All-inclusive program. Located on the west coast of Barbados.,Karen Udler,Deputy Travel Editor,,,Caribbean Journal,MEDIUM,⚪ UNKNOWN,No opening date found,,UNKNOWN,0.7000000000000001,https://www.caribjournal.com/2026/01/28/barbados-all-inclusive-marriott-new/,Caribbean Journal,2026-01-30T10:05:40.292887
JW Marriott (Dominican Republic - details hidden),JW Marriott,Unknown,Unknown,Dominican Republic,Unknown,,unclear,high-end,new_construction,,,,$500 million,,Part of a $500 million development. Article requires subscription to reveal details.,,,,,,MEDIUM,⚪ UNKNOWN,No opening date found,,UNKNOWN,0.55,https://www.caribjournal.com/2026/01/28/lamborghini-caribbean-hotels/,Caribbean Journal,2026-01-30T10:04:53.758136
Autograph Collection Hotel (Dominican Republic - details hidden),Autograph Collection,Unknown,Unknown,Dominican Republic,Unknown,,unclear,high-end,new_construction,,,,$500 million,,Part of a $500 million development. Article requires subscription to reveal details.,,,,,,MEDIUM,⚪ UNKNOWN,No opening date found,,UNKNOWN,0.55,https://www.caribjournal.com/2026/01/28/lamborghini-caribbean-hotels/,Caribbean Journal,2026-01-30T10:04:53.758136
Meliá Bergantín Beach,Meliá,Puerto Plata,,Dominican Republic,,400,confirmed,five-star resort,new_construction,,Grupo Puntacana,,,,Located on the north coast of the Dominican Republic.,,,,,,MEDIUM,⚪ UNKNOWN,No opening date found,,UNKNOWN,0.5,https://www.caribjournal.com/cj-invest-news/projects/,Caribbean Journal,2026-01-30T10:05:59.617630
Divi Aruba Phoenix Beach Resort,Divi,Palm Beach,,Aruba,March 11,,unclear,resort,renovation,,,,,"pool, restaurants, bar","Multi-year, property-wide renovation completed in phases. Guest rooms underwent full interior renovations. Bathrooms were completely rebuilt with new fixtures and finishes. Kitchens were replaced with new cabinetry, backsplashes, and appliances, including the addition of dishwashers.",,,,,,MEDIUM,⚪ UNKNOWN,No opening date found,,UNKNOWN,0.45000000000000007,https://www.caribjournal.com/2026/01/28/divi-aruba-resort-renovation/,Caribbean Journal,2026-01-30T10:05:35.346776
Sandals Royal Curacao,Sandals,Curacao,,Curacao,2022,,unclear,resort,,,,,,Awa bungalows with private pools,Awa bungalows come with Mini Coopers,,,,,,MEDIUM,⚫ MISSED,Already opened (43 months ago),-43,MISSED,0.45000000000000007,https://www.caribjournal.com/2025/01/11/best-all-incusive-resorts-caribbean-2025-guide/,Caribbean Journal,2026-01-30T10:05:23.082869
ONE | GT,,Grand Cayman,,Cayman Islands,this winter,,unclear,luxury hotel and residences,new_construction,,,,,,Offering incentives to boost ownership and reward early buyers.,,,,,,MEDIUM,⚪ UNKNOWN,No opening date found,,UNKNOWN,0.45000000000000007,https://www.caribjournal.com/cj-invest-news/realestate-cj-invest-news/,Caribbean Journal,2026-01-30T10:06:02.434531
Marriott,Marriott,Barbados,,Barbados,,88,confirmed,all-inclusive,new_construction,,,,,"postcard-worthy beach, swim-up cave bar",Smaller-scale all-inclusive resort on the west coast (Platinum Coast).,,,,,,MEDIUM,⚪ UNKNOWN,No opening date found,,UNKNOWN,0.45,https://www.caribjournal.com/2026/01/29/royal-caribbean-discovery-class-ships/,Caribbean Journal,2026-01-30T10:04:42.405632
Galley Bay Resort and Spa,,Antigua,,Antigua and Barbuda,,98,confirmed,resort,,,,,,"beachfront suites, Gauguin Suites with private plunge pools, rum shack","Adults-only resort, part of Virtuoso",,,,,,MEDIUM,⚪ UNKNOWN,No opening date found,,UNKNOWN,0.45,https://www.caribjournal.com/2025/01/11/best-all-incusive-resorts-caribbean-2025-guide/,Caribbean Journal,2026-01-30T10:05:23.082869
Keyonna Beach,,Antigua,,Antigua and Barbuda,,18,confirmed,hideaway,,,,,,"beachfront Bali beds, lush garden pool",Barefoot elegance,,,,,,MEDIUM,⚪ UNKNOWN,No opening date found,,UNKNOWN,0.45,https://www.caribjournal.com/2025/01/11/best-all-incusive-resorts-caribbean-2025-guide/,Caribbean Journal,2026-01-30T10:05:23.082869
Serenity at Coconut Bay,,Vieux Fort,,Saint Lucia,,36,confirmed,resort,,,,,,"private pools, stocked bars, butler service, 24-hour room service",Honeymoon resort,,,,,,MEDIUM,⚪ UNKNOWN,No opening date found,,UNKNOWN,0.45,https://www.caribjournal.com/2025/01/11/best-all-incusive-resorts-caribbean-2025-guide/,Caribbean Journal,2026-01-30T10:05:23.082869
Greenwood Beach Resort,,Cat Island,,Bahamas,,20,confirmed,boutique,,,,,$2.5M,pink sand beachfront,Located on an 8-mile-long beach.,,,,,,MEDIUM,⚪ UNKNOWN,No opening date found,,UNKNOWN,0.45,https://www.caribjournal.com/cj-invest-news/listings/,Caribbean Journal,2026-01-30T10:05:54.477199
Navah,,Providenciales,,Turks and Caicos,,35,confirmed,luxury resort,new_construction,,,,,Villas,First luxury 'kosher' resort in the Caribbean. Residential resort with villas and a residential building.,,,,,,MEDIUM,⚪ UNKNOWN,No opening date found,,UNKNOWN,0.45,https://www.caribjournal.com/cj-invest-news/projects/,Caribbean Journal,2026-01-30T10:05:59.617630
