hotel_name,brand,city,state,country,opening_date,room_count,room_count_confidence,hotel_type,project_type,management_company,developer,owner,investment_amount,amenities,key_insights,contact_name,contact_title,contact_email,contact_phone,contact_company,contact_relevance,lead_priority,lead_priority_reason,months_to_opening,uniform_decision_window,confidence_score,source_url,source_name,scraped_at
Omni Fort Lauderdale Hotel,Omni Hotels & Resorts,Fort Lauderdale,Florida,USA,Dec-25,801,,waterfront luxury property,,Omni Hotels & Resorts,Matthews Southwest,,,,,Kurt Alexander,president of Omni Hotels & Resorts,,,,,,,,,0.83,https://www.hoteldive.com/news/omni-fort-lauderdale-hotel-opening/808495/,Hotel Dive,
Omni New Orleans,Omni Hotels & Resorts,New Orleans,,USA,2029,1000,,,,,,,,,,,,,,,,,,,,0.67,https://www.hoteldive.com/news/omni-fort-lauderdale-hotel-opening/808495/,Hotel Dive,
The Greenleigh Hotel,Marriott'S Autograph Collection,Houston,Texas,USA,summer 2026,299,,hotel,,,,,,,,,,,,,,,,,,0.66,https://www.hoteldive.com/news/top-hotel-openings-2026/810298/,Hotel Dive,
"The Ritz-Carlton, Indianapolis",Ritz-Carlton,Indianapolis,,USA,early 2028,176,,luxury hotel,,Sage Hospitality Group,Boxcar Development,,,,,,,,,,,,,,,0.64,https://www.hoteldive.com/news/ritz-carlton-hotel-development-indianapolis/809199/,Hotel Dive,
Motto by Hilton Nashville Downtown,Hilton,Nashville,Tennessee,USA,Dec-25,260,,hotel,,Apple Hospitality REIT,,,,,,Nelson Knight,President of Real Estate and Investments,,,,,,,,,0.64,https://www.hoteldive.com/news/apple-hospitality-motto-hilton-nashville-downtown/808592/,Hotel Dive,
"The Knox Hotel, Auberge Collection",Auberge Collection,Dallas,,USA,2026,0,,hotel,,,,,,,,,,,,,,,,,,0.61,https://www.hoteldive.com/news/top-hotel-openings-2026/810298/,Hotel Dive,
Six Senses South Carolina Islands,Six Senses,,South Carolina,USA,2026,0,,resort,,Whitestone Resources,,,,,,,,,,,,,,,,0.61,https://www.hoteldive.com/news/six-senses-opens-south-carolina-resort/708852/,Hotel Dive,
Ruby Hotel Chicago,Ruby Hotels,Chicago,,USA,2027,412,,lifestyle hotel,,Ruby Group,"Ruby Group, Berk Properties",,,,,,,,,,,,,,,0.59,https://www.hoteldive.com/news/ihg-ruby-hotels-chicago-debut/810588/,Hotel Dive,
Hotel Boulderado,Graduate Hotels By Hilton,Boulder,Colorado,USA,Spring 2026,0,,hotel,,AJ Capital Partners,AJ Capital Partners,,,,,Ben Weprin,CEO of AJ Capital Partners and Graduate Hotels’ founder,,,,,,,,,0.59,https://www.hoteldive.com/news/graduate-acquires-hotel-boulderado-colorado/744341/,Hotel Dive,
SongTeller Hotel,,Nashville,Tennessee,USA,Jun-26,245,,hotel,,,Herschend,,,,,,,,,,,,,,,0.58,https://www.hoteldive.com/news/top-hotel-openings-2026/810298/,Hotel Dive,
PUBLIC West Hollywood,Public,Los Angeles,California,USA,spring 2026,137,,hotel,,,,,,,,Ian Schrager,hotelier,,,,,,,,,0.57,https://www.hoteldive.com/news/top-hotel-openings-2026/810298/,Hotel Dive,
The Vanderpump Hotel,,Las Vegas,Nevada,USA,spring 2026,188,,hotel,,,Caesars Entertainment,,,,,Lisa Vanderpump,entrepreneur,,,,,,,,,0.57,https://www.hoteldive.com/news/top-hotel-openings-2026/810298/,Hotel Dive,
Six Senses RiverStone Estate,Six Senses,Foxburg,Pennsylvania,USA,2028,77,,resort,,IHG Hotels & Resorts,,,,,,,,,,,,,,,,0.56,https://www.hoteldive.com/news/six-senses-pennsylvania-expansion/727462/,Hotel Dive,
Six Senses Telluride,Six Senses,Telluride,Colorado,USA,2028,77,,resort,,,The Vault Home Collection,,,,,,,,,,,,,,,0.56,https://www.hoteldive.com/news/ihgs-six-senses-heads-to-colorado-mountains/725345/,Hotel Dive,
The Cooper,,Charleston,South Carolina,USA,Mar-26,191,,hotel,,,Beemok Hospitality Collection,,,,,,,,,,,,,,,0.54,https://www.hoteldive.com/news/top-hotel-openings-2026/810298/,Hotel Dive,
Outbound Park City,Outbound Hotels,Park City,Utah,USA,2027,182,,mountain destination,,CoralTree Hospitality,Waterton,,,,,Stuart Turner,"managing director, hotel group, U.S. real estate",,,,,,,,,0.54,https://www.hoteldive.com/news/outbound-hotels-park-city-2027-waterton-barings/809588/,Hotel Dive,
"The Heid Lofts by Reside, a Wyndham Residence",Wyndham Residence,Philadelphia,,USA,Jan-26,96,,apartment-style,,"Reside, a Wyndham Residence",,,,,,J.R. Dembiec,"president of Reside, a Wyndham Residence",,,,,,,,,0.53,https://www.hoteldive.com/news/wyndham-reside-partnership-apartment-hotel-opening/810218/,Hotel Dive,
Six Senses Camp Korongo,Six Senses,Kanab,Utah,USA,2029,0,,resort and residential community,,IHG Hotels & Resorts,Canyon Global Partners,,,,Merged from 2 sources,,,,,,,,,,,0.51,https://www.hoteldive.com/topic/development/,Hotel Dive,
White Elephant Aspen,White Elephant Resorts,Aspen,Colorado,USA,Feb-26,54,,hotel,,,,,,,,,,,,,,,,,,0.5,https://www.hoteldive.com/news/top-hotel-openings-2026/810298/,Hotel Dive,
